cameraIndex,cameraName,cameraUserId,cameraDisplayName,positionX,positionY,radius,weight,centroidIndex
0,eins (2123114),0,eins,1929.3215562744765,210.4860888813213,9.863536007099203,1.0,0
0,eins (2123114),0,eins,924.299880525687,1044.910792512943,2.0733670791848104,1.0,1
0,eins (2123114),0,eins,880.5943212757682,1058.5250875145857,2.0508906425743083,1.0,2
1,sieben (2123135),6,sieben,738.677942243506,386.2102307357423,10.43505939852502,1.0,0
2,vier (2123141),3,vier,700.2132999076396,158.61897347935084,8.094729600824085,1.0,0
3,drei (2126903),2,drei,1054.9198057097542,157.3146708961142,8.925824737777315,1.0,0
4,fuenf (2126905),4,fuenf,,,,,
5,acht (2126908),7,acht,1395.1645944079046,530.1760068474638,10.238949089559677,1.0,0
5,acht (2126908),7,acht,696.55296404276,893.3780369290573,1.341790786814664,1.0,1
5,acht (2126908),7,acht,758.6990950226244,898.0052790346908,1.5110961933500575,1.0,2
5,acht (2126908),7,acht,790.1273792093705,900.1603221083456,1.5092324345494816,1.0,3
5,acht (2126908),7,acht,753.1893203883495,937.0742024965326,1.5384015818305161,1.0,4
5,acht (2126908),7,acht,747.615925058548,977.3255269320844,1.5426744613047836,1.0,5
6,sechs (2133382),5,sechs,871.2432081153908,602.8252126591642,12.250891746902056,1.0,0
7,zwei (2133427),1,zwei,603.2664872139973,852.557200538358,1.9481072997563038,1.0,0
7,zwei (2133427),1,zwei,596.3878894251865,884.269855199649,1.9475673782226404,1.0,1
7,zwei (2133427),1,zwei,648.383455407152,894.1296854803963,1.9728203485268698,1.0,2
7,zwei (2133427),1,zwei,701.3210431654676,903.6429856115108,1.9437470662948746,1.0,3
7,zwei (2133427),1,zwei,583.0452961672474,949.6754604280736,1.8541327113729738,1.0,4
8,zwoelf (2137246),11,zwoelf,1178.9203781512606,1026.9518907563024,4.5184405682853095,1.0,0
9,elf (2137258),10,elf,1414.435713572356,617.2545790472386,12.630936685196108,1.0,0
10,zehn (2137262),9,zehn,1293.8603174603174,125.97142857142858,2.643466729831468,0.4180285930633545,0
10,zehn (2137262),9,zehn,1332.8963684676705,185.6430469441984,2.766375042454856,0.80477374792099,1
10,zehn (2137262),9,zehn,1289.056095736724,213.13836948391923,2.845351932867149,0.643764853477478,2
10,zehn (2137262),9,zehn,1352.144978165939,215.9528384279476,2.7852972996203067,0.7456209063529968,3
10,zehn (2137262),9,zehn,1243.7105263157894,239.5,0.9546503761693186,0.4749999940395355,4
10,zehn (2137262),9,zehn,1246.6774193548388,239.67741935483872,0.9349275320122219,0.38749998807907104,5
10,zehn (2137262),9,zehn,1245.5176470588235,242.2941176470588,0.9563483027247801,0.53125,6
11,dreizehn (2142111),12,dreizehn,1008.8337379080468,19.378971776384912,6.762777015690635,1.0,0
12,neun (2142614),8,neun,703.529465095195,820.4904805077063,1.4468162626265613,1.0,0
12,neun (2142614),8,neun,819.6440329218107,852.1069958847737,1.4227052268152711,0.9631629586219788,1
12,neun (2142614),8,neun,763.119966442953,854.9639261744967,1.492314553002306,1.0,2
12,neun (2142614),8,neun,707.398336414048,857.4195933456562,1.4042591843971415,1.0,3
12,neun (2142614),8,neun,716.0300261096605,930.2193211488251,1.3141760182657594,1.0,4
