cameraIndex,cameraName,cameraUserId,cameraDisplayName,positionX,positionY,radius,weight,centroidIndex
0,Vero v2.2 (2123114),0,,,,,,
1,Vero v2.2 (2123135),6,,1674.9365760610397,780.757272293753,2.4496875733640913,1.0,0
1,Vero v2.2 (2123135),6,,1675.7049036777582,823.8038528896673,2.547144132971892,1.0,1
2,Vero v2.2 (2123141),3,,1001.0,903.5,0.7071067811865476,1.0,0
2,Vero v2.2 (2123141),3,,997.0,910.6666666666666,0.9428090415820634,1.0,1
2,Vero v2.2 (2123141),3,,1005.3333333333334,917.5,0.97182531580755,1.0,2
2,Vero v2.2 (2123141),3,,1023.0,920.4285714285714,0.6998542122237652,1.0,3
2,Vero v2.2 (2123141),3,,995.0,924.4,0.6928203230275509,1.0,4
3,Vero v2.2 (2126903),2,,1736.2865497076023,32.14736842105263,1.5703591428795045,1.0,0
3,Vero v2.2 (2126903),2,,1713.904761904762,37.73313492063492,1.5366362178756479,1.0,1
3,Vero v2.2 (2126903),2,,456.36827852998067,43.236363636363635,2.1556422582522923,1.0,2
3,Vero v2.2 (2126903),2,,1731.9181034482758,43.85775862068966,1.3446894270322844,1.0,3
3,Vero v2.2 (2126903),2,,1723.584058941728,89.21500334896182,1.7286384607717875,1.0,4
3,Vero v2.2 (2126903),2,,467.75492513790385,97.31875492513791,2.124325452913765,1.0,5
3,Vero v2.2 (2126903),2,,1709.923561859732,99.03388494877856,1.5795823168358192,1.0,6
3,Vero v2.2 (2126903),2,,1737.6377473363775,106.08980213089802,1.648287280762506,1.0,7
3,Vero v2.2 (2126903),2,,1716.6578366445915,114.68727005150846,1.6598021157558343,1.0,8
3,Vero v2.2 (2126903),2,,474.2308580223163,137.60792612543287,2.13455815598865,1.0,9
3,Vero v2.2 (2126903),2,,1696.0487228003785,190.3306527909177,2.0494952307253365,1.0,10
3,Vero v2.2 (2126903),2,,391.38482989403235,499.09537088678195,2.4807477219328526,1.0,11
3,Vero v2.2 (2126903),2,,342.41800458715596,512.4698967889908,2.4727167759131348,1.0,12
3,Vero v2.2 (2126903),2,,1759.4541484716158,685.9650655021834,0.7504821330634354,1.0,13
3,Vero v2.2 (2126903),2,,1761.2643678160919,687.0,0.6236625271839328,1.0,14
3,Vero v2.2 (2126903),2,,1763.641414141414,688.0252525252525,0.7136061600476793,1.0,15
3,Vero v2.2 (2126903),2,,413.52,691.0,0.7065408693062277,1.0,16
3,Vero v2.2 (2126903),2,,406.75,694.0,0.6123724356957945,1.0,17
3,Vero v2.2 (2126903),2,,401.0,695.4285714285714,0.6998542122237652,1.0,18
3,Vero v2.2 (2126903),2,,397.3333333333333,697.0,0.8432740427115678,1.0,19
3,Vero v2.2 (2126903),2,,403.5,698.0,0.7071067811865476,1.0,20
3,Vero v2.2 (2126903),2,,389.53846153846155,699.0,0.8970695222838923,1.0,21
3,Vero v2.2 (2126903),2,,401.5,699.0,0.7071067811865476,1.0,22
3,Vero v2.2 (2126903),2,,385.7142857142857,700.0,0.6388765649999399,1.0,23
3,Vero v2.2 (2126903),2,,378.3636363636364,702.0,1.0338619460140595,1.0,24
3,Vero v2.2 (2126903),2,,386.55555555555554,702.0,0.7027283689263065,1.0,25
3,Vero v2.2 (2126903),2,,375.46153846153845,703.0,0.8970695222838924,1.0,26
3,Vero v2.2 (2126903),2,,383.75,703.0,1.0206207261596574,1.0,27
3,Vero v2.2 (2126903),2,,378.375,704.375,1.0185774393731681,1.0,28
3,Vero v2.2 (2126903),2,,364.375,706.0,0.6846531968814576,1.0,29
3,Vero v2.2 (2126903),2,,1175.6,868.0,0.6928203230275509,1.0,30
3,Vero v2.2 (2126903),2,,1170.2222222222222,870.0,0.5879447357921312,1.0,31
3,Vero v2.2 (2126903),2,,1168.5263157894738,871.0,0.7061267297367757,1.0,32
3,Vero v2.2 (2126903),2,,1165.5813953488373,872.0,0.6976744186046512,1.0,33
3,Vero v2.2 (2126903),2,,1163.3636363636363,873.0,0.6803013430498075,1.0,34
3,Vero v2.2 (2126903),2,,1161.1935483870968,874.0,0.5587260669577023,1.0,35
3,Vero v2.2 (2126903),2,,624.90625,1014.78125,1.0661701318269987,1.0,36
3,Vero v2.2 (2126903),2,,622.3,1016.0,0.9055385138137416,1.0,37
4,Vero v2.2 (2126905),4,,,,,,
5,Vero v2.2 (2126908),7,,1714.7525107604017,712.2496413199426,1.7261350965641364,1.0,0
5,Vero v2.2 (2126908),7,,1729.9556313993173,742.9849829351535,1.733738947455344,1.0,1
6,Vero v2.2 (2133382),5,,971.3636363636364,486.0,1.0041237288352056,1.0,0
7,Vero v2.2 (2133427),1,,802.4098159509202,43.61533742331288,1.7688717797665676,1.0,0
7,Vero v2.2 (2133427),1,,836.6854565952649,46.773393461104845,1.7979660785883058,1.0,1
7,Vero v2.2 (2133427),1,,1916.2923076923078,221.41538461538462,0.9483713850721502,1.0,2
7,Vero v2.2 (2133427),1,,1904.560975609756,223.0,0.7018290034116175,1.0,3
7,Vero v2.2 (2133427),1,,1905.0350877192982,237.56140350877192,0.7484466318491769,1.0,4
7,Vero v2.2 (2133427),1,,1921.68,240.0,0.6596969000988256,1.0,5
7,Vero v2.2 (2133427),1,,737.7017205781142,247.19077770130764,3.7741545307834112,1.0,6
7,Vero v2.2 (2133427),1,,1873.5511111111111,257.8177777777778,1.226344563185372,1.0,7
7,Vero v2.2 (2133427),1,,1880.695059625213,289.3219761499148,1.55376355809941,1.0,8
7,Vero v2.2 (2133427),1,,539.8701298701299,373.45454545454544,1.2668829504682804,1.0,9
7,Vero v2.2 (2133427),1,,570.6,374.0,0.6928203230275509,1.0,10
7,Vero v2.2 (2133427),1,,552.1666666666666,376.1666666666667,0.7453559924999299,1.0,11
7,Vero v2.2 (2133427),1,,563.6111111111111,378.0,0.6894263136661587,1.0,12
7,Vero v2.2 (2133427),1,,559.7,387.0,0.648074069840786,1.0,13
