Frame,Sub Frame,"Difference Between Positions - Unlabeled Track (4)➞Unlabeled Track (3)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
555230,0,"0.51126","119.954","0.0444919"
555231,0,"0.341011","119.427","-0.978239"
555232,0,"0.42633","119.478","-0.805161"
555233,0,"0.590274","119.976","0.118978"
555234,0,"0.731483","120.011","0.433563"
555235,0,"0.414779","119.416","-0.915299"
555236,0,"0.362437","119.435","-0.950393"
555237,0,"0.351413","119.41","-1.0237"
555238,0,"0.579279","119.964","0.157499"
555239,0,"0.419831","119.44","-0.855614"
555240,0,"0.410821","119.442","-0.88818"
555241,0,"0.525888","119.968","0.0290795"
555242,0,"0.359455","119.45","-0.963616"
555243,0,"0.321515","119.403","-1.07211"
555244,0,"0.401323","119.423","-0.930789"
555245,0,"0.585748","119.962","0.0908844"
555246,0,"0.695116","120.008","0.403142"
555247,0,"0.366897","119.421","-0.964455"
555248,0,"0.360677","119.409","-1.03616"
555249,0,"0.321573","119.413","-1.05474"
555250,0,"0.59865","119.96","0.140029"
555251,0,"0.586926","119.966","0.121899"
555252,0,"0.571159","119.964","0.0697356"
555253,0,"0.426611","119.419","-0.89489"
555254,0,"0.355061","119.459","-0.920791"
555255,0,"0.372814","119.466","-0.920151"
555256,0,"0.447644","119.465","-0.798569"
555257,0,"0.577996","119.975","0.0805247"
555258,0,"0.601285","119.98","0.183629"
555259,0,"0.407209","119.449","-0.865176"
555260,0,"0.441012","119.455","-0.792167"
555261,0,"0.344155","119.425","-0.980565"
555262,0,"0.587687","119.941","0.0667345"
555263,0,"0.587459","119.98","0.108025"
555264,0,"0.441334","119.485","-0.776092"
555265,0,"0.335309","119.435","-1.02599"
555266,0,"0.364955","119.429","-1.00868"
555267,0,"0.435976","119.427","-0.809702"
555268,0,"0.461407","119.428","-0.863538"
555269,0,"0.592407","119.959","0.140414"
555270,0,"0.521526","119.5","-0.607962"
555271,0,"0.332907","119.434","-1.04651"
555272,0,"0.340554","119.437","-1.01741"
555273,0,"0.371056","119.432","-0.99819"
555274,0,"0.451632","119.434","-0.867216"
555275,0,"0.577373","119.968","0.102455"
555276,0,"0.707554","120.004","0.415233"
555277,0,"0.359015","119.427","-1.0042"
555278,0,"0.355168","119.446","-0.991448"
555279,0,"0.359969","119.433","-0.978489"
555280,0,"0.587965","119.966","0.155341"
555281,0,"0.526449","119.441","-0.625865"
555282,0,"0.692479","120.016","0.397405"
555283,0,"0.328485","119.422","-1.05003"
555284,0,"0.362472","119.407","-1.03969"
555285,0,"0.380952","119.405","-0.982089"
555286,0,"0.568577","119.951","0.0845215"
555287,0,"0.690178","120.019","0.438214"
555288,0,"0.407864","119.464","-0.849043"
555289,0,"0.422978","119.413","-0.911266"
555290,0,"0.351895","119.431","-0.968781"
555291,0,"0.381795","119.453","-0.872506"
555292,0,"0.401217","119.437","-0.901095"
555293,0,"0.542566","119.458","-0.553638"
555294,0,"0.694711","119.99","0.405349"
555295,0,"0.351093","119.433","-0.935522"
555296,0,"0.361614","119.444","-0.929609"
555297,0,"0.333536","119.422","-0.985474"
555298,0,"0.439233","119.454","-0.817415"
555299,0,"0.558293","119.497","-0.512949"
555300,0,"0.702793","120.005","0.40559"
555301,0,"0.387903","119.43","-0.912569"
555302,0,"0.370028","119.447","-0.934558"
555303,0,"0.353152","119.44","-0.992145"
555304,0,"0.612273","119.989","0.142549"
555305,0,"0.405877","119.464","-0.867808"
555306,0,"0.589363","119.975","0.0773791"
555307,0,"0.475333","119.465","-0.790567"
555308,0,"0.498909","119.945","-0.0549301"
555309,0,"0.500819","119.942","-0.0466416"
555310,0,"0.597403","119.989","0.150597"
555311,0,"0.354468","119.45","-0.982792"
555312,0,"0.405483","119.447","-0.904119"
555313,0,"0.380253","119.448","-0.918152"
555314,0,"0.369011","119.43","-1.00625"
555315,0,"0.390388","119.442","-0.928672"
555316,0,"0.47114","119.461","-0.782708"
555317,0,"0.574948","119.966","0.0725181"
555318,0,"0.404577","119.476","-0.859245"
555319,0,"0.332123","119.441","-1.06619"
555320,0,"0.369048","119.428","-0.980863"
555321,0,"0.342895","119.398","-1.03013"
555322,0,"0.448247","119.455","-0.843445"
555323,0,"0.462246","119.448","-0.818644"
555324,0,"0.511031","119.968","-0.0202851"
555325,0,"0.34035","119.46","-0.987777"
555326,0,"0.33905","119.425","-1.03031"
555327,0,"0.356517","119.441","-0.969327"
555328,0,"0.586491","119.951","0.0743276"
555329,0,"0.39751","119.449","-0.887614"
555330,0,"0.724359","120.004","0.429955"
555331,0,"0.417662","119.452","-0.907216"
555332,0,"0.358922","119.426","-0.982947"
555333,0,"0.36206","119.442","-0.956524"
555334,0,"0.462549","119.478","-0.828083"
555335,0,"0.472924","119.456","-0.8265"
555336,0,"0.466473","119.445","-0.823113"
555337,0,"0.357895","119.451","-0.965742"
