cameraIndex,cameraName,cameraUserId,cameraDisplayName,positionX,positionY,radius,weight,centroidIndex
0,eins (2123114),0,eins,1639.6789730797213,137.42870803450785,8.813708213203876,1.0,0
1,sieben (2123135),6,sieben,930.0306069200227,281.97161656267724,8.361463079220957,1.0,0
2,vier (2123141),3,vier,578.9430367118914,484.83208870140237,10.702807081916147,1.0,0
3,drei (2126903),2,drei,482.7809951060359,25.2989396411093,2.1047742697876948,1.0,0
3,drei (2126903),2,drei,457.48446716476604,43.969720802202126,2.1485905090551585,1.0,1
3,drei (2126903),2,drei,468.81786941580754,48.83161512027491,1.215863699437611,1.0,2
3,drei (2126903),2,drei,470.41987057480014,98.7316330414922,2.1425562841422616,1.0,3
3,drei (2126903),2,drei,478.9996187571483,138.38963019443386,2.1465196826568715,1.0,4
3,drei (2126903),2,drei,714.1037281916367,316.98542647466076,9.772369559120612,1.0,5
4,fuenf (2126905),4,fuenf,1133.8925788084105,163.77181346820626,10.227571960422914,1.0,0
5,acht (2126908),7,acht,1310.6206205952442,401.45986918825736,7.886160707653187,1.0,0
6,sechs (2133382),5,sechs,1324.7816115999633,699.364747721716,11.02368908038055,1.0,0
7,zwei (2133427),1,zwei,607.1818181818181,653.0,0.8131156281817418,1.0,0
7,zwei (2133427),1,zwei,612.9375,654.0,0.7856128181235335,1.0,1
7,zwei (2133427),1,zwei,632.85,658.0,0.9246621004453465,1.0,2
7,zwei (2133427),1,zwei,638.6923076923077,659.0,1.0204999354939692,1.0,3
7,zwei (2133427),1,zwei,643.25,660.0,0.6123724356957945,1.0,4
8,zwoelf (2137246),11,zwoelf,905.5229357798165,955.9369764658954,4.991054900335876,1.0,0
9,elf (2137258),10,elf,1939.8125,153.0,0.5519850541454905,1.0,0
9,elf (2137258),10,elf,1656.259842519685,205.0,0.8732705910558596,1.0,1
9,elf (2137258),10,elf,1653.7401960784314,226.2450980392157,1.3754695818337053,1.0,2
9,elf (2137258),10,elf,939.6775533591176,571.3572195960464,11.523082795555668,1.0,3
10,zehn (2137262),9,zehn,1439.4517034304106,1041.1181607661513,9.246928098527173,1.0,0
11,dreizehn (2142111),12,dreizehn,1295.5392816905278,182.83528894506884,7.673578530691443,1.0,0
12,neun (2142614),8,neun,,,,,
