cameraIndex,cameraName,cameraUserId,cameraDisplayName,positionX,positionY,radius,weight,centroidIndex
0,Vero v2.2 (2123114),0,,,,,,
1,Vero v2.2 (2123135),6,,1040.6576995263206,337.04229919691534,11.11328807514923,1.0,0
2,Vero v2.2 (2123141),3,,431.27691157624946,151.0221593336181,8.119132063973758,1.0,0
3,Vero v2.2 (2126903),2,,872.8105467800729,66.55044957472661,8.26122062355339,1.0,0
4,Vero v2.2 (2126905),4,,634.3654218032391,11.422528402223834,9.461291203344565,1.0,0
5,Vero v2.2 (2126908),7,,1609.9691934167845,460.6177834384764,8.927077277347722,1.0,0
6,Vero v2.2 (2133382),5,,998.7833369850233,817.9578971919682,14.950615655453186,1.0,0
7,Vero v2.2 (2133427),1,,,,,,
8,Vero v2.2 (2137246),11,,1143.7225945945945,983.4481081081082,5.774272288239359,1.0,0
9,Vero v2.2 (2137258),10,,1165.5844980638417,565.0589003888155,14.157687169551728,1.0,0
10,Vero v2.2 (2137262),9,,,,,,
11,Vero v2.2 (2142111),12,,951.3115046470735,64.99766390354182,8.015210400865447,1.0,0
12,Vero v2.2 (2142614),8,,,,,,
