cameraIndex,cameraName,cameraUserId,cameraDisplayName,positionX,positionY,radius,weight,centroidIndex
0,Vero v2.2 (2123135),6,,1047.6962936441305,340.0320880043459,11.297043180285375,1.0,0
1,Vero v2.2 (2123141),3,,425.93209989779604,148.59294006656359,8.15571228706355,1.0,0
1,Vero v2.2 (2123141),3,,999.5,896.0,0.7071067811865476,1.0,1
1,Vero v2.2 (2123141),3,,1006.0,910.3333333333334,0.6666666666666666,1.0,2
1,Vero v2.2 (2123141),3,,1012.0,910.4,0.6928203230275509,1.0,3
1,Vero v2.2 (2123141),3,,996.8,911.0,0.5656854249492379,1.0,4
1,Vero v2.2 (2123141),3,,1011.0,912.3333333333334,0.6666666666666666,1.0,5
1,Vero v2.2 (2123141),3,,1011.0,917.3333333333334,0.6666666666666666,1.0,6
1,Vero v2.2 (2123141),3,,994.5,920.0,0.7071067811865476,1.0,7
1,Vero v2.2 (2123141),3,,995.0,923.2857142857143,0.989743318610787,1.0,8
1,Vero v2.2 (2123141),3,,994.5,927.0,0.7071067811865476,1.0,9
